Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S001048;17/01/2020;12:26;CALL. ALCALA;285;CIUDAD LINEAL;Atropello a persona;Despejado;Motocicleta hasta 125cc;Peatón;DE 55 A 59 AÑOS;Hombre;14
2020S001480;17/01/2020;12:15;CALL. HUERTAS;27;CENTRO;Atropello a persona;Despejado;Furgoneta;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S001480;17/01/2020;12:15;CALL. HUERTAS;27;CENTRO;Atropello a persona;Despejado;Furgoneta;Peatón;DE 60 A 64 AÑOS;Hombre;07
2020S001225;17/01/2020;11:35;CALL. PUERTO DE PAJARES;5;PUENTE DE VALLECAS;Colisión lateral;;Furgoneta;Conductor;DE 55 A 59 AÑOS;Hombre;
2020S001225;17/01/2020;11:35;CALL. PUERTO DE PAJARES;5;PUENTE DE VALLECAS;Colisión lateral;;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S001420;17/01/2020;11:30;AVDA. ALBERTO ALCOCER;11;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;14
2020S001420;17/01/2020;11:30;AVDA. ALBERTO ALCOCER;11;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Camión rígido;Conductor;DE 60 A 64 AÑOS;Hombre;14
2020S001042;17/01/2020;10:55;CALL. VALENTIN BEATO;44;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Camión rígido;Conductor;DE 45 A 49 AÑOS;Hombre;
2020S001042;17/01/2020;10:55;CALL. VALENTIN BEATO;44;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;
2020S001356;17/01/2020;10:00;CALL. MORATINES / CALL. EMBAJADORES;-;ARGANZUELA;Atropello a persona;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S001356;17/01/2020;10:00;CALL. MORATINES / CALL. EMBAJADORES;-;ARGANZUELA;Atropello a persona;Despejado;Motocicleta hasta 125cc;Peatón;DE 65 A 69 AÑOS;Mujer;07
2020S001356;17/01/2020;10:00;CALL. MORATINES / CALL. EMBAJADORES;-;ARGANZUELA;Atropello a persona;Despejado;Motocicleta hasta 125cc;Peatón;DE 70 A 74 AÑOS;Hombre;07
2020S001038;17/01/2020;9:45;CALL. GOYA;5;SALAMANCA;Colisión fronto-lateral;Nublado;Autobús;Conductor;DE 45 A 49 AÑOS;Mujer;14
2020S001038;17/01/2020;9:45;CALL. GOYA;5;SALAMANCA;Colisión fronto-lateral;Nublado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2020S001541;17/01/2020;9:30;AVDA. REAL DE PINTO / CALL. LENGUAS;-;VILLAVERDE;Atropello a persona;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S001541;17/01/2020;9:30;AVDA. REAL DE PINTO / CALL. LENGUAS;-;VILLAVERDE;Atropello a persona;Despejado;Turismo;Peatón;MAYOR DE 74 AÑOS;Hombre;07
2020S001035;17/01/2020;9:15;CALL. FERNANDEZ CARO;50;CIUDAD LINEAL;Caída;Nublado;Motocicleta hasta 125cc;Conductor;DE 50 A 54 AÑOS;Hombre;07
2020S001234;17/01/2020;9:01;AUTOV. M-30, KM 9,100 CALZADA 2 LATERAL;-;MORATALAZ;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S001234;17/01/2020;9:01;AUTOV. M-30, KM 9,100 CALZADA 2 LATERAL;-;MORATALAZ;Colisión lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S001234;17/01/2020;9:01;AUTOV. M-30, KM 9,100 CALZADA 2 LATERAL;-;MORATALAZ;Colisión lateral;Despejado;Turismo;Pasajero;DESCONOCIDA;Hombre;
2020S001041;17/01/2020;9:00;CALL. MAR DE ARAL / CALL. MAR DE LAS ANTILLAS;-;HORTALEZA;Atropello a persona;Despejado;;Conductor;DESCONOCIDA;;
2020S001041;17/01/2020;9:00;CALL. MAR DE ARAL / CALL. MAR DE LAS ANTILLAS;-;HORTALEZA;Atropello a persona;Despejado;;Peatón;DE 60 A 64 AÑOS;Hombre;01
2020S001039;17/01/2020;8:53;CTRA. ANDALUCIA;0;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S001039;17/01/2020;8:53;CTRA. ANDALUCIA;0;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;
2020S001030;17/01/2020;8:40;CALL. BLASCO DE GARAY / CALL. FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;03
2020S001030;17/01/2020;8:40;CALL. BLASCO DE GARAY / CALL. FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Caída;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S001030;17/01/2020;8:40;CALL. BLASCO DE GARAY / CALL. FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Caída;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;14
2020S002380;17/01/2020;8:35;CALL. ALMANSA;79;MONCLOA-ARAVACA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 40 A 44 AÑOS;Mujer;02
2020S001031;17/01/2020;8:30;CALL. JOSE GUTIERREZ MAROTO / CALL. BERNARDINO DE PANTORBA;-;VILLA DE VALLECAS;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 50 A 54 AÑOS;Hombre;06
2020S001044;17/01/2020;8:30;SOBRE PUENTE M-30;-;SALAMANCA;Alcance;Despejado;Todo terreno;Conductor;DE 50 A 54 AÑOS;Hombre;14
2020S001044;17/01/2020;8:30;SOBRE PUENTE M-30;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2020S001060;17/01/2020;8:30;AUTOV. A-4, SALIDA PK 4.900;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S001060;17/01/2020;8:30;AUTOV. A-4, SALIDA PK 4.900;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S001032;17/01/2020;8:20;CALL. SAN CIPRIANO / CALL. MINERVA;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S001032;17/01/2020;8:20;CALL. SAN CIPRIANO / CALL. MINERVA;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;
2020S001032;17/01/2020;8:20;CALL. SAN CIPRIANO / CALL. MINERVA;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 10 A 14 AÑOS;Mujer;
2020S001032;17/01/2020;8:20;CALL. SAN CIPRIANO / CALL. MINERVA;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 10 A 14 AÑOS;Mujer;
2020S001058;17/01/2020;8:15;AUTOV. M-30, SALIDA A LAS TABLAS CENTRO COMERCIAL;-;CIUDAD LINEAL;Alcance;Se desconoce;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S001058;17/01/2020;8:15;AUTOV. M-30, SALIDA A LAS TABLAS CENTRO COMERCIAL;-;CIUDAD LINEAL;Alcance;Se desconoce;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;07
